device_id, stream_id, kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
0, 0, kernel-1.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-2.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-3.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871994,6871994
0, 0, kernel-4.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-5.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-6.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-7.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871992,6871992
0, 0, kernel-8.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-9.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-10.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-11.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871994,6871994
0, 0, kernel-12.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-13.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-14.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-15.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871992,6871992
0, 0, kernel-16.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-17.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-18.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-19.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871997,6871997
0, 0, kernel-20.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-21.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-22.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-23.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871995,6871995
0, 0, kernel-24.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-25.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-26.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-27.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871999,6871999
0, 0, kernel-28.trace, _Z18histo_final_kerneljjjjPjS_S_S_, 42, 1, 1, 42, 512, 1, 1, 512, 997504,997504
0, 0, kernel-29.trace, _Z20histo_prescan_kernelPjiS_, 64, 1, 1, 64, 512, 1, 1, 512, 613312,613312
0, 0, kernel-30.trace, _Z26histo_intermediates_kernelP5uint2jjjP6uchar4, 65, 1, 1, 65, 498, 1, 1, 498, 1639040,1639040
0, 0, kernel-31.trace, _Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_, 14, 4, 1, 56, 768, 1, 1, 768, 6871995,6871995
